amount,hour,day_of_week,velocity_1h,velocity_24h,amount_to_avg_ratio,account_age_days,time_since_last_txn_min,is_new_beneficiary,is_cross_border,channel_code,merchant_risk,linkage_c1,linkage_c2,linkage_c3,linkage_c4,linkage_c5,linkage_c6,linkage_c7,linkage_c8,linkage_c9,linkage_c10,linkage_c11,linkage_c12,linkage_c13,linkage_c14,vector
187.66613050970005,13,6,0,0,2.867320557825822,1.6033573017077396,2308.8333333333335,1,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
285.35115376549277,5,0,0,1,2.6872080215395404,2.261633703211394,947.9166666666666,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
159.03860000102145,8,0,0,2,1.0533800183705342,2.375842287956265,164.45,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
478.8928150255396,1,3,0,0,3.138404361871107,5.091211982815585,3910.133333333333,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
227.93624762776463,7,3,0,1,1.1012754504921165,5.348039427663607,369.8333333333333,1,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
479.08776593074447,7,3,1,2,2.2817041149599073,5.356341495387347,11.95,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
200.1700553756505,10,3,0,3,0.8216854966658993,5.454910322253472,141.95,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
550.4411889643872,11,4,0,0,2.3051987489044037,6.512692611337061,1523.2,1,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
331.1236736752524,13,4,0,1,1.2266184164275185,6.608429922351433,137.86666666666667,0,0,0,0.02023807761481445,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,threshold_hugging
36.357340334278966,23,6,0,0,1.4972137406017532,128.68451549392373,11065.7,0,0,0,0.020328267422289378,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,threshold_hugging
607.5624967932163,18,4,0,0,22.253540647853782,134.46209188281262,8319.7,0,0,0,0.020328267422289378,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,threshold_hugging
426.14033188541583,12,3,0,0,2.9726441446894802,140.2396682717015,8319.716666666667,0,0,0,0.020328267422289378,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,threshold_hugging
171.77049057305862,16,3,0,1,0.9017532360644431,140.39391886339487,222.11666666666667,0,0,0,0.020328267422289378,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,threshold_hugging
590.0426934560537,23,4,0,2,3.141674614345605,140.668879184749,395.95,0,0,0,0.020328267422289378,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,threshold_hugging
27.29721054855866,19,2,0,0,0.7298719398010337,9.287845185270807,13374.483333333334,0,0,0,0.019376083680737812,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,threshold_hugging
830.3133720730112,16,6,0,0,26.811329875213282,231.2095857979282,40621.8,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
108.51530760826556,16,6,1,1,0.9059186999335768,231.21198644988698,3.45,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
108.51530760826556,16,6,2,2,0.9145226478990295,231.21493714862166,4.25,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
172.29430177842102,18,6,0,3,1.463397512584479,231.26179202105092,67.46666666666667,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
227.09908336376293,18,6,1,4,1.8571696535046667,231.2899571640978,40.56666666666667,0,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
309.82432807958355,19,0,1,5,2.3769526586996563,231.30701522605014,24.566666666666666,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
973.6224115783875,19,0,2,6,6.800695599701465,231.30891848530086,2.7333333333333334,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
949.5093272381571,20,0,2,7,4.782724994065738,231.3460196090258,53.43333333333333,1,0,1,0.02058200154561142,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,4.0,bustout
